# Client packets: rev235
# count: 101
# named: 101
# client_table_size: 101
# columns: id\tname\tlength\twrite_count\tfields
# field_format: writeType[byteEncodings](obfuscatedMethodName)
0	OPLOC3	7	4	W2[r 8,v](bk),W2[v,r 8](ef),W2[r 8,v](bk),W1[a 128](dg)
1	OPLOCT	15	7	W2[r 8,v](bk),W1[v](bh),W2[r 8,v](bk),W4[r 24,r 16,r 8,v](kk),W2[r 8,a 128](ez),W2[r 8,a 128](ez),W2[r 8,v](bk)
2	OPWORLDENTITY3	3	2	W2[a 128,r 8](xw),W1[v](bh)
3	OPOBJ4	7	4	W2[a 128,r 8](xw),W2[r 8,v](bk),W2[r 8,v](bk),W1[v](bh)
4	EVENT_MOUSE_MOVE	-1	1	W1[v](bh)
5	RESUME_PAUSEBUTTON	6	2	W2[a 128,r 8](xw),W4[v,r 16,r 24,r 8](rr)
6	OPOBJ5	7	4	W2[a 128,r 8](xw),W1[s 128](bb),W2[r 8,v](bk),W2[r 8,a 128](ez)
7	SOUND_JINGLEEND	4	1	W4[r 24,r 16,r 8,v](kk)
8	CLICKWORLDMAP	4	1	W4[r 24,r 16,r 8,v](kk)
9	IF_BUTTONX	9	4	W4[r 24,r 16,r 8,v](kk),W2[r 8,v](bk),W2[r 8,v](bk),W1[v](bh)
10	MOVE_MINIMAPCLICK	-1	5	W1[v](bh),W1[v](bh),W2[a 128,r 8](xw),W2[a 128,r 8](xw),W1[v](bh)
11	EVENT_MOUSE_CLICK_V1	6	3	W2[r 8,v](bk),W2[r 8,v](bk),W2[r 8,v](bk)
12	CLOSE_MODAL	0	0	-
13	CONNECTION_TELEMETRY	-1	2	W1[v](bh),W1[v](nz)
14	CLANSETTINGS_FULL_REQUEST	1	1	W1[v](bh)
15	OPPLAYER2	3	2	W2[r 8,v](bk),W1[a 128](dg)
16	OPOBJ1	7	4	W1[v](bh),W2[a 128,r 8](xw),W2[r 8,v](bk),W2[r 8,v](bk)
17	BUG_REPORT	-2	4	W2[r 8,v](bk),W1[strn](bf),W1[s 128](bb),W1[strn](bf)
18	OPOBJ3	7	4	W2[v,r 8](ef),W1[a 128](dg),W2[a 128,r 8](xw),W2[r 8,a 128](ez)
19	AFFINEDCLANSETTINGS_SETMUTED_FROMCHANNEL	-1	4	W1[v](bh),W1[v](bh),W2[r 8,v](bk),W1[strn](bf)
20	FRIENDCHAT_SETRANK	-1	3	W1[v](bh),W1[strn](bf),W1[a 128](dg)
21	OPOBJ6	6	3	W2[r 8,v](bk),W2[v,r 8](ef),W2[a 128,r 8](xw)
22	OPOBJT	15	6	W2[a 128,r 8](xw),W4[r 24,r 16,r 8,v](kk),W2[a 128,r 8](xw),W1[s 0](vz),W2[a 128,r 8](xw),W2[r 8,v](bk)
23	OPPLAYERU	11	5	W2[a 128,r 8](xw),W4[r 16,v,r 8,r 24](el),W2[a 128,r 8](xw),W1[s 128](bb),W2[r 8,a 128](ez)
24	IF_BUTTONT	16	6	W2[r 8,a 128](ez),W4[v,r 16,r 24,r 8](rr),W2[a 128,r 8](xw),W2[a 128,r 8](xw),W4[r 24,r 16,r 8,v](kk),W2[r 8,v](bk)
25	OPNPC4	3	2	W1[s 128](bb),W2[r 8,a 128](ez)
26	MESSAGE_PUBLIC	-1	2	W1[v](bh),W1[v](bh)
27	OPWORLDENTITY1	3	2	W1[s 128](bb),W2[r 8,v](bk)
28	WINDOW_STATUS	5	3	W1[v](bh),W2[r 8,v](bk),W2[r 8,v](bk)
29	OPNPC5	3	2	W2[r 8,v](bk),W1[s 0](vz)
30	OPPLAYERT	11	5	W1[s 128](bb),W2[r 8,a 128](ez),W2[a 128,r 8](xw),W2[a 128,r 8](xw),W4[v,r 16,r 24,r 8](rr)
31	OPWORLDENTITYT	11	5	W2[v,r 8](ef),W4[r 16,v,r 8,r 24](el),W2[a 128,r 8](xw),W1[v](bh),W2[a 128,r 8](xw)
32	OPOBJ2	7	4	W1[s 0](vz),W2[r 8,v](bk),W2[r 8,v](bk),W2[r 8,a 128](ez)
33	OPWORLDENTITY5	3	2	W2[a 128,r 8](xw),W1[s 0](vz)
34	EVENT_MOUSE_SCROLL	2	1	W2[r 8,v](bk)
35	RSEVEN_STATUS	1	0	-
36	EVENT_KEYBOARD	-2	3	W2[r 8,v](bk),W3[v,r 16,r 8](ek),W1[s 128](bb)
37	EVENT_APPLET_FOCUS	1	1	W1[v](bh)
38	EVENT_NATIVE_MOUSE_MOVE	-1	0	-
39	OPOBJU	15	6	W2[a 128,r 8](xw),W4[v,r 16,r 24,r 8](rr),W1[a 128](dg),W2[v,r 8](ef),W2[r 8,v](bk),W2[v,r 8](ef)
40	CLIENT_CHEAT	-1	2	W1[v](bh),W1[strn](bf)
41	OPNPC2	3	2	W2[r 8,a 128](ez),W1[s 0](vz)
42	OPPLAYER8	3	2	W1[s 0](vz),W2[a 128,r 8](xw)
43	OPPLAYER5	3	2	W2[a 128,r 8](xw),W1[s 0](vz)
44	SET_CHATFILTERSETTINGS	3	3	W1[v](bh),W1[v](bh),W1[v](bh)
45	EVENT_NATIVE_MOUSE_CLICK	7	0	-
46	RESUME_P_STRINGDIALOG	-1	2	W1[v](bh),W1[strn](bf)
47	MAP_BUILD_COMPLETE	0	0	-
48	EVENT_CAMERA_POSITION	4	2	W2[v,r 8](ef),W2[r 8,v](bk)
49	OPPLAYER7	3	2	W2[r 8,v](bk),W1[s 128](bb)
50	OPPLAYER1	3	2	W2[v,r 8](ef),W1[s 0](vz)
51	RESUME_P_OBJDIALOG	2	1	W2[r 8,v](bk)
52	FRIENDCHAT_JOIN_LEAVE	-1	2	W1[v](bh),W1[strn](bf)
53	OPNPC1	3	2	W2[r 8,a 128](ez),W1[s 128](bb)
