# Client packets: rev239
# count: 117
# named: 101
# client_table_size: 117
# columns: id\tname\tlength\twrite_count\tfields
# field_format: writeType[byteEncodings](obfuscatedMethodName)
0	OPNPC6	2	1	W2[r 8,v](bd)
1	SEND_PING_REPLY	10	4	W4[r 16,r 24,v,r 8](et),W4[r 24,r 16,v,r 8](dx),W1[a 128](dw),W1[s 0](di)
2	CLANSETTINGS_FULL_REQUEST	1	1	W1[v](bw)
3	OPPLAYER2	3	2	W2[v,r 8](el),W1[s 0](di)
4	IDLE	0	0	-
5	EXIT_FREECAM	0	0	-
6	EVENT_NATIVE_MOUSE_MOVE	-1	0	-
7	OPOBJ3_V2	8	5	W1[a 128](dw),W2[v,r 8](el),W2[a 128,r 8](ey),W1[a 128](dw),W2[r 8,a 128](ev)
8	EVENT_CAMERA_POSITION	4	2	W2[v,r 8](el),W2[a 128,r 8](ey)
9	IGNORELIST_DEL	-1	2	W1[v](bw),W1[strn](ce)
10	WINDOW_STATUS	5	3	W1[v](bw),W2[r 8,v](bd),W2[r 8,v](bd)
11	-	7	0	-
12	REFLECTION_CHECK_REPLY	-1	2	W1[v](bw),W1[v](ch)
13	OPNPC2_V2	4	3	W2[a 128,r 8](ey),W1[s 0](di),W1[s 128](dz)
14	OPWORLDENTITY1	3	2	W2[v,r 8](el),W1[s 128](dz)
15	OPLOC4_V2	8	5	W1[a 128](dw),W2[v,r 8](el),W2[a 128,r 8](ey),W1[s 0](di),W2[r 8,v](bd)
16	EVENT_MOUSE_SCROLL	2	1	W2[r 8,v](bd)
17	HISCORE_REQUEST	-1	0	-
18	-	3	0	-
19	OPNPC3_V2	4	3	W1[s 0](di),W1[s 128](dz),W2[r 8,a 128](ev)
20	FRIENDCHAT_JOIN_LEAVE	-1	2	W1[v](bw),W1[strn](ce)
21	-	3	0	-
22	OPPLAYER7	3	2	W1[v](bw),W2[r 8,v](bd)
23	OPNPCU	11	5	W4[r 8,v,r 16,r 24](ek),W2[r 8,a 128](ev),W1[v](bw),W2[v,r 8](el),W2[r 8,a 128](ev)
24	MAP_BUILD_COMPLETE	0	0	-
25	-	7	0	-
26	RESUME_P_NAMEDIALOG	-1	2	W1[v](bw),W1[strn](ce)
27	IF_BUTTONT	16	6	W4[r 24,r 16,v,r 8](dx),W2[r 8,a 128](ev),W2[a 128,r 8](ey),W2[v,r 8](el),W2[r 8,a 128](ev),W4[r 8,v,r 16,r 24](ek)
28	FRIENDLIST_ADD	-1	2	W1[v](bw),W1[strn](ce)
29	EVENT_APPLET_FOCUS	1	1	W1[v](bw)
30	-	7	0	-
31	OPOBJ4_V2	8	5	W1[s 128](dz),W2[r 8,v](bd),W2[r 8,v](bd),W2[v,r 8](el),W1[s 0](di)
32	RESUME_P_OBJDIALOG	2	1	W2[r 8,v](bd)
33	DETECT_MODIFIED_CLIENT	4	1	W4[r 24,r 16,v,r 8](dx)
34	CLIENT_CHEAT	-1	2	W1[v](bw),W1[strn](ce)
35	EVENT_MOUSE_CLICK_V2	7	4	W2[r 8,a 128](ev),W2[a 128,r 8](ey),W2[r 8,a 128](ev),W1[s 128](dz)
36	-	7	0	-
37	OPPLAYER4	3	2	W2[r 8,v](bd),W1[v](bw)
38	CLANCHANNEL_KICKUSER	-1	4	W1[v](bw),W1[v](bw),W2[r 8,v](bd),W1[strn](ce)
39	SOUND_JINGLEEND	4	1	W4[r 24,r 16,v,r 8](dx)
40	IF_SUBOP	10	5	W4[r 24,r 16,v,r 8](dx),W2[r 8,v](bd),W2[r 8,v](bd),W1[v](bw),W1[v](bw)
41	-	3	0	-
42	-	7	0	-
43	OPOBJ5_V2	8	5	W1[s 0](di),W2[r 8,a 128](ev),W2[r 8,v](bd),W2[a 128,r 8](ey),W1[a 128](dw)
44	SET_HEADING	1	1	W1[v](bw)
45	OPNPC4_V2	4	4	W4[r 24,r 16,v,r 8](dx),W4[r 16,r 24,v,r 8](et),W4[v,r 8,r 16,r 24](eb),W2[r 8,v](cu)
46	OPOBJ1_V2	8	5	W2[r 8,a 128](ev),W1[s 128](dz),W2[r 8,a 128](ev),W1[s 128](dz),W2[r 8,v](bd)
47	IF_BUTTONX	9	4	W4[r 24,r 16,v,r 8](dx),W2[r 8,v](bd),W2[r 8,v](bd),W1[v](bw)
