# Client packet mapping: rev239 -> rev240
# matched: 101/117
# source_count: 117
# target_count: 117
# removed: 0
# added: 0
# columns: source_id\ttarget_id\tsource_name\ttarget_name\tfields
52	116	OPLOCU	OPLOCU	W4[r 8,v,r 16,r 24](ek),W2[a 128,r 8](ey),W2[r 8,v](bd),W2[a 128,r 8](ey),W2[v,r 8](el),W2[a 128,r 8](ey),W1[s 0](di)
53	41	OPPLAYER8	OPPLAYER8	W2[r 8,v](bd),W1[s 0](di)
54	47	EVENT_KEYBOARD	EVENT_KEYBOARD	W2[r 8,v](bd),W1[s 0](di),W3[v,r 16,r 8](ed)
55	66	FRIENDCHAT_SETRANK	FRIENDCHAT_SETRANK	W1[v](bw),W1[s 128](dz),W1[strn](ce)
56	58	IF_SCRIPT_TRIGGER	IF_SCRIPT_TRIGGER	W2[r 8,v](bd),W2[a 128,r 8](ey),W2[r 8,v](bd),W4[v,r 8,r 16,r 24](eb),W4[v,r 8,r 16,r 24](eb)
57	52	OPPLAYER5	OPPLAYER5	W1[s 128](dz),W2[r 8,v](bd)
58	9	OPOBJ6	OPOBJ6	W2[r 8,a 128](ev),W2[v,r 8](el),W2[v,r 8](el)
59	16	SET_CHATFILTERSETTINGS	SET_CHATFILTERSETTINGS	W1[v](bw),W1[v](bw),W1[v](bw)
60	92	SEND_SNAPSHOT	SEND_SNAPSHOT	W1[v](bw),W1[strn](ce),W1[v](bw),W1[v](bw)
61	76	MEMBERSHIP_PROMOTION_ELIGIBILITY	MEMBERSHIP_PROMOTION_ELIGIBILITY	-
62	68	OPLOCT	OPLOCT	W1[s 0](di),W2[r 8,a 128](ev),W2[v,r 8](el),W4[v,r 8,r 16,r 24](eb),W2[a 128,r 8](ey),W2[v,r 8](el),W2[v,r 8](el)
63	111	RESUME_P_COUNTDIALOG_LONG	RESUME_P_COUNTDIALOG_LONG	W8[v,v,v,v,v,v,v,v](cf)
64	54	RESUME_P_STRINGDIALOG	RESUME_P_STRINGDIALOG	W1[v](bw),W1[strn](ce)
65	115	FRIENDLIST_DEL	FRIENDLIST_DEL	W1[v](bw),W1[strn](ce)
66	40	EVENT_MOUSE_CLICK_V1	EVENT_MOUSE_CLICK_V2	-
67	61	MOVE_MINIMAPCLICK	MOVE_MINIMAPCLICK	W1[v](bw),W2[v,r 8](el),W2[v,r 8](el),W1[s 128](dz),W1[v](bw)
69	56	MESSAGE_PUBLIC	MESSAGE_PUBLIC	W1[v](bw),W1[v](bw)
70	4	OPPLAYER6	OPPLAYER6	W2[a 128,r 8](ey),W1[s 128](dz)
72	10	OPWORLDENTITYT	OPWORLDENTITYT	W2[r 8,a 128](ev),W4[r 8,v,r 16,r 24](ek),W2[a 128,r 8](ey),W2[a 128,r 8](ey),W1[s 0](di)
73	74	OPLOC1_V2	OPLOC1_V2	W2[r 8,a 128](ev),W2[v,r 8](el),W1[a 128](dw),W1[a 128](dw),W2[r 8,v](bd)
74	113	OPOBJ2_V2	OPOBJ2_V2	W1[a 128](dw),W1[s 128](dz),W2[r 8,v](bd),W2[v,r 8](el),W2[a 128,r 8](ey)
75	62	RESUME_P_COUNTDIALOG	RESUME_P_COUNTDIALOG	W4[r 24,r 16,v,r 8](dx)
76	38	OPOBJT	OPOBJT	W2[v,r 8](el),W2[r 8,a 128](ev),W2[r 8,v](bd),W4[r 8,v,r 16,r 24](ek),W1[v](bw),W2[v,r 8](el),W2[r 8,v](bd)
77	91	UPDATE_PLAYER_MODEL_V2	UPDATE_PLAYER_MODEL_V2	-
78	105	OPLOC6	OPLOC6	W2[v,r 8](el)
79	45	OPPLAYERT	OPPLAYERT	W2[r 8,a 128](ev),W1[a 128](dw),W2[a 128,r 8](ey),W4[r 8,v,r 16,r 24](ek),W2[r 8,v](bd)
80	48	OPWORLDENTITY2	OPWORLDENTITY2	W2[r 8,a 128](ev),W1[a 128](dw)
82	81	IGNORELIST_ADD	IGNORELIST_ADD	W1[v](bw),W1[strn](ce)
83	2	OPWORLDENTITY4	OPWORLDENTITY4	W2[r 8,v](bd),W1[v](bw)
84	17	AFFINEDCLANSETTINGS_ADDBANNED_FROMCHANNEL	AFFINEDCLANSETTINGS_ADDBANNED_FROMCHANNEL	W1[v](bw),W1[v](bw),W2[r 8,v](bd),W1[strn](ce)
85	73	OPNPC5_V2	OPNPC5_V2	W1[a 128](dw),W1[s 0](di),W2[r 8,a 128](ev)
86	63	OPNPCT	OPNPCT	W1[s 0](di),W2[r 8,v](bd),W2[r 8,a 128](ev),W2[r 8,v](bd),W4[r 24,r 16,v,r 8](dx)
87	42	OPPLAYERU	OPPLAYERU	W4[v,r 8,r 16,r 24](eb),W1[v](bw),W2[r 8,v](bd),W2[a 128,r 8](ey),W2[r 8,a 128](ev)
89	99	NO_TIMEOUT	NO_TIMEOUT	-
90	85	OPWORLDENTITYU	OPWORLDENTITYU	W2[r 8,v](bd),W2[r 8,v](bd),W2[v,r 8](el),W4[r 24,r 16,v,r 8](dx),W1[s 128](dz)
91	15	IF_CRMVIEW_OP	IF_CRMVIEW_OP	W4[r 8,v,r 16,r 24](ek),W4[r 24,r 16,v,r 8](dx),W4[r 8,v,r 16,r 24](ek),W4[r 8,v,r 16,r 24](ek),W4[v,r 8,r 16,r 24](eb),W2[v,r 8](el)
92	36	OPPLAYER3	OPPLAYER3	W1[s 0](di),W2[a 128,r 8](ey)
93	57	OPPLAYER1	OPPLAYER1	W1[s 128](dz),W2[v,r 8](el)
95	98	CLOSE_MODAL	CLOSE_MODAL	-
96	60	AFFINEDCLANSETTINGS_SETMUTED_FROMCHANNEL	AFFINEDCLANSETTINGS_SETMUTED_FROMCHANNEL	W1[v](bw),W1[v](bw),W2[r 8,v](bd),W1[strn](ce)
97	29	CONNECTION_TELEMETRY	CONNECTION_TELEMETRY	W1[v](bw),W1[v](ch)
98	25	OPWORLDENTITY6	OPWORLDENTITY6	W2[a 128,r 8](ey)
99	78	CLICKWORLDMAP	CLICKWORLDMAP	W4[v,r 8,r 16,r 24](eb)
100	49	OPWORLDENTITY3	OPWORLDENTITY3	W2[r 8,v](bd),W1[s 128](dz)
101	51	FRIENDCHAT_KICK	FRIENDCHAT_KICK	W1[v](bw),W1[strn](ce)
102	59	OPNPC1_V2	OPNPC1_V2	W2[v,r 8](el),W1[s 0](di),W1[s 128](dz)
103	90	OPLOC2_V2	OPLOC2_V2	W2[a 128,r 8](ey),W2[a 128,r 8](ey),W2[r 8,v](bd),W1[s 0](di),W1[v](bw)
104	8	OPLOC3_V2	OPLOC3_V2	W2[r 8,a 128](ev),W1[s 128](dz),W1[v](bw),W2[a 128,r 8](ey),W2[r 8,a 128](ev)
105	89	RSEVEN_STATUS	RSEVEN_STATUS	-
106	93	OPWORLDENTITY5	OPWORLDENTITY5	W1[a 128](dw),W2[r 8,a 128](ev)
108	14	BUG_REPORT	BUG_REPORT	W2[r 8,v](bd),W1[strn](ce),W1[v](bw),W1[strn](ce)
110	114	EVENT_MOUSE_MOVE	EVENT_MOUSE_MOVE	W1[v](bw)
111	108	MESSAGE_PRIVATE	MESSAGE_PRIVATE	W2[r 8,v](bd),W1[strn](ce),W2[r 8,v](cu)
112	33	CLANCHANNEL_FULL_REQUEST	CLANCHANNEL_FULL_REQUEST	W1[v](bw)
113	84	OPOBJU	OPOBJU	W2[v,r 8](el),W1[s 128](dz),W2[r 8,a 128](ev),W2[v,r 8](el),W4[r 16,r 24,v,r 8](et),W2[a 128,r 8](ey)
114	102	MOVE_GAMECLICK	MOVE_GAMECLICK	W1[v](bw),W2[v,r 8](el),W2[v,r 8](el),W1[s 128](dz)
115	82	RESUME_PAUSEBUTTON	RESUME_PAUSEBUTTON	W4[r 16,r 24,v,r 8](et),W2[r 8,v](bd)
116	77	OPLOC5_V2	OPLOC5_V2	W2[a 128,r 8](ey),W2[v,r 8](el),W1[a 128](dw),W1[s 0](di),W2[r 8,v](bd)
