# Server packets: rev237
# count: 143
# named: 142
# server_table_size: 143
# columns: id\tname\tlength\tread_count\tfields
# field_format: readType(obfuscatedMethodName)
0	UPDATE_INV_STOPTRANSMIT	2	1	I2(cp)
1	LOC_ADD_CHANGE_V2	-2	0	-
2	OCULUS_SYNC	4	1	I4(co)
3	NPC_HEADICON_SPECIFIC	9	4	I2(kb),I2(ek),I1(ca),I4(wl)
4	CAM_SHAKE	4	4	I1(ca),I1(ca),I1(ca),I1(ca)
5	IF_SETMODEL	6	2	I2(ek),I4(dl)
6	MAP_ANIM	6	0	-
7	IF_SETOBJECT	10	3	I4(ez),I4(ez),I2(ek)
8	UPDATE_REBOOT_TIMER_V2	-1	2	X1(cx),I2(er)
9	UNKNOWN_STRING	-1	1	X1(cx)
10	VARCLAN_ENABLE	0	0	-
11	UPDATE_ZONE_PARTIAL_FOLLOWS	3	3	I1(dn),I1(du),I1(du)
12	IF_SETHIDE	5	2	I4(co),I1(du)
13	LOC_ANIM_SPECIFIC	6	3	I1(dn),I2(er),I3(cv)
14	SERVER_TICK_END	0	0	-
15	IF_SETNPCHEAD	6	2	I4(wl),I2(cp)
16	IF_SETPLAYERMODEL_OBJ	8	2	I4(ez),I4(wl)
17	REFLECTION_CHECKER	-2	0	-
18	CLANCHANNEL_FULL	-2	1	B1(cs)
19	NPC_SPOTANIM_SPECIFIC	9	4	I2(em),I4(dl),I2(ek),I1(ca)
20	RESET_ANIMS	0	0	-
21	IF_OPENSUB	7	3	I4(dl),I1(dv),I2(cp)
22	MESSAGE_PRIVATE	-2	4	X1(cx),I2(cp),I3(cv),I1(ca)
23	SYNTH_SOUND	5	3	I2(cp),I1(ca),I2(cp)
24	CAM_MOVETO_ARC_V1	10	8	I1(ca),I1(ca),I2(cp),I1(ca),I1(ca),I2(cp),Z0(mo),I1(ca)
25	SET_INTERACTION_MODE	4	3	I2(kb),I1(ca),I1(ca)
26	PROJANIM_SPECIFIC_V4	27	11	I2(em),I2(er),I2(em),I2(ek),I2(em),I4(co),I2(ek),I3(pa),I1(du),I3(za),I4(co)
27	IF_SETROTATESPEED	8	3	I4(wl),I2(cp),I2(cp)
28	UPDATE_INV_PARTIAL	-2	6	I4(co),I2(cp),I1(cq),I2(cp),I1(ca),I4(co)
29	HIDENPCOPS	1	1	Z0(mo)
30	CLANSETTINGS_DELTA	-2	1	B1(cs)
31	IF_MOVESUB	8	2	I4(dl),I4(ez)
32	VARCLAN	-1	0	-
33	OBJ_ENABLED_OPS_SPECIFIC	7	3	I2(er),I1(dn),I4(dl)
34	REBUILD_NORMAL	-2	0	-
35	MIDI_JINGLE	5	2	I2(ek),I3(mp)
36	MESSAGE_FRIENDCHANNEL	-1	5	X1(cx),J0(df),I2(cp),I3(cv),I1(ca)
37	VARP_SYNC	0	0	-
38	SITE_SETTINGS	-1	1	X1(cx)
39	OBJ_DEL_SPECIFIC	10	3	I4(ez),I4(dl),I2(ek)
40	SET_NPC_UPDATE_ORIGIN	2	2	I1(ca),I1(ca)
41	VARCLAN_DISABLE	0	0	-
42	IF_SETPOSITION	8	3	I4(wl),I2(ed),I2(kb)
43	CAM_ROTATETO	7	4	I2(kb),I2(kb),I2(cp),I1(ca)
44	UPDATE_REBOOT_TIMER_V1	2	1	I2(em)
45	MESSAGE_PRIVATE_ECHO	-2	1	X1(cx)
46	LOC_DEL	2	0	-
47	MESSAGE_GAME	-1	4	I1(cq),I1(ca),X1(cx),X1(cx)
48	IF_SETANGLE	10	4	I2(er),I2(cp),I2(ek),I4(dl)
49	LOGOUT_TRANSFER	-1	3	X1(cx),I2(cp),I4(co)
50	UPDATE_STAT_V2	7	4	I4(wl),I1(dv),I1(du),I1(du)
51	IF_CLEARINV	4	1	I4(dl)
52	CAM_MOVETO_V1	6	5	I1(ca),I1(ca),I2(cp),I1(ca),I1(ca)
53	CHAT_FILTER_SETTINGS	2	2	I1(ca),I1(ca)
54	PLAYER_INFO	-2	0	-
55	MIDI_SWAP	8	4	I2(ek),I2(cp),I2(er),I2(ek)
56	VARP_SMALL	3	2	I2(ek),B1(gl)
57	CAM_SMOOTHRESET	4	0	-
58	FRIENDLIST_LOADED	0	0	-
59	REBUILD_WORLDENTITY_V3	-2	0	-
60	UPDATE_TRADINGPOST	-2	2	I1(ca),J0(df)
61	CAM_MOVETO_CYCLES_V1	8	6	I1(ca),I1(ca),I2(cp),I2(cp),Z0(mo),I1(ca)
62	RESET_INTERACTION_MODE	2	1	I2(kb)
63	CHAT_FILTER_SETTINGS_PRIVATECHAT	1	1	I1(ca)
64	NPC_INFO_SMALL_V5	-2	0	-
65	IF_SETSCROLLPOS	6	2	I4(dl),I2(ek)
