# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
class	aa	-	-	DevicePcmPlayer
class	ab	-	-	RestClientThreadFactory
class	ac	-	-	SecureRandomSSLSocketFactory
class	ad	-	-	SecureRandomSSLSocket
class	ae	-	-	class4
class	af	-	-	MouseWheelHandler
class	ah	-	-	HttpRequestTask
class	ak	-	-	class6
class	al	-	-	HttpResponse
class	am	-	-	DevicePcmPlayerProvider
class	ao	-	-	Canvas
class	aq	-	-	KeyHandler
class	ar	-	-	AsyncHttpResponse
class	as	-	-	AsyncRestClient
class	at	-	-	class1
class	au	-	-	HttpRequest
class	aw	-	-	SpriteBufferProperties
class	ay	-	-	HttpMethod
class	ba	-	-	ApproximateRouteStrategy
class	bb	-	-	RasterProvider
class	bd	-	-	FriendSystem
class	bf	-	-	LoginState
class	bg	-	-	class28
class	bh	-	-	class46
class	bi	-	-	class39
class	bj	-	-	class33
class	bk	-	-	class31
class	bl	-	-	GraphicsObject
class	bm	-	-	GameEngine
class	bn	-	-	World
class	bo	-	-	class27
class	bp	-	-	MouseHandler
class	bq	-	-	MenuAction
class	br	-	-	Interpreter
class	bt	-	-	ScriptFrame
class	bu	-	-	Message
class	bv	-	-	Login
class	bw	-	-	GrandExchangeOfferOwnWorldComparator
class	bx	-	-	class50
class	by	-	-	class40
class	bz	-	-	class30
class	ca	-	-	LoginScreenAnimation
class	cb	-	-	class57
class	cc	-	-	SecureRandomCallable
class	cd	-	-	class66
class	ce	-	-	SecureRandomFuture
class	cf	-	-	class69
class	cg	-	-	ScriptEvent
class	ch	-	-	Projectile
class	ci	-	-	Player
class	cj	-	-	HealthBarUpdate
class	ck	-	-	Tiles
class	cl	-	-	ClientPreferences
class	cm	-	-	ChatChannel
