# Server packets: rev238
# count: 139
# named: 139
# server_table_size: 139
# columns: id\tname\tlength\tread_count\tfields
# field_format: readType(obfuscatedMethodName)
0	UPDATE_REBOOT_TIMER_V2	-1	2	X1(uq),I2(du)
1	UPDATE_INV_STOPTRANSMIT	2	1	I2(eq)
2	MESSAGE_PRIVATE	-2	4	X1(uq),I2(cq),I3(qj),I1(sy)
3	SEND_PING	8	6	I4(ca),I4(ca),V0(es),V0(ek),V0(we),V0(we)
4	FRIENDLIST_LOADED	0	0	-
5	UPDATE_RUNWEIGHT	2	1	I2(ev)
6	IF_SETTEXT	-2	2	I4(ca),X1(uq)
7	SET_NPC_UPDATE_ORIGIN	2	2	I1(sy),I1(sy)
8	SET_HEATMAP_ENABLED	1	1	Z0(dx)
9	NPC_ANIM_SPECIFIC	5	3	I2(eq),I1(er),I2(du)
10	UPDATE_ZONE_PARTIAL_FOLLOWS	3	3	I1(sk),I1(er),I1(er)
11	SET_ACTIVE_WORLD_V2	3	2	I2(ev),I1(sy)
12	LOC_ANIM	4	0	-
13	UPDATE_FRIENDCHAT_CHANNEL_SINGLEUSER	-1	0	-
14	CLANCHANNEL_DELTA	-2	1	B1(cu)
15	IF_SETPLAYERMODEL_OBJ	8	2	I4(ee),I4(dj)
16	MESSAGE_PRIVATE_ECHO	-2	1	X1(uq)
17	LOC_ADD_CHANGE_V2	-2	0	-
18	RESET_ANIMS	0	0	-
19	NPC_INFO_SMALL_V5	-2	0	-
20	CAM_ROTATEBY	7	4	I2(ev),I2(ev),I2(cq),I1(sy)
21	OCULUS_SYNC	4	1	I4(ca)
22	VARP_SYNC	0	0	-
23	IF_SETEVENTS_V2	16	5	I2(eq),I2(eq),I4(ee),I4(ca),I4(ez)
24	VARCLAN	-1	0	-
25	IF_SETHIDE	5	2	I4(dj),I1(er)
26	ACCOUNT_FLAGS	8	1	J0(cl)
27	UPDATE_STAT_V2	7	4	I1(sk),I4(ca),I1(er),I1(cs)
28	MESSAGE_CLANCHANNEL	-1	5	B1(cu),X1(uq),I2(cq),I3(qj),I1(sy)
29	MESSAGE_FRIENDCHANNEL	-1	5	X1(uq),J0(cl),I2(cq),I3(qj),I1(sy)
30	TRIGGER_ONDIALOGABORT	0	0	-
31	PLAYER_SPOTANIM_SPECIFIC	9	4	I1(er),I2(du),I2(ed),I4(dj)
32	IF_OPENTOP	2	1	I2(eq)
33	MIDI_SONG_V2	10	5	I2(cq),I2(du),I2(ed),I2(eq),I2(cq)
34	SOUND_AREA	7	0	-
35	URL_OPEN	-2	2	V1(qn),X1(uq)
36	MESSAGE_GAME	-1	4	I1(dm),I1(sy),X1(uq),X1(uq)
37	IF_SETOBJECT	10	3	I4(dj),I2(du),I4(ez)
38	HIDEOBJOPS	1	1	Z0(dx)
39	REBUILD_REGION_V1	-2	0	-
40	CAM_MODE	1	1	I1(sy)
41	PACKET_GROUP_START	2	1	I2(ev)
42	CAM_RESET	0	0	-
43	LOC_MERGE	14	0	-
44	VARP_RESET	0	0	-
45	IF_CLEARINV	4	1	I4(dj)
46	HIDENPCOPS	1	1	Z0(dx)
47	IF_SETNPCHEAD_ACTIVE	6	2	I4(ca),I2(cq)
48	IF_SETANGLE	10	4	I2(ed),I2(ed),I4(ca),I2(ed)
49	CAM_SHAKE	4	4	I1(sy),I1(sy),I1(sy),I1(sy)
50	CHAT_FILTER_SETTINGS_PRIVATECHAT	1	1	I1(sy)
51	IF_SETPOSITION	8	3	I2(ej),I2(ej),I4(ca)
52	IF_CLOSESUB	4	1	I4(ca)
53	NPC_INFO_LARGE_V5	-2	0	-
54	LOGOUT_WITHREASON	1	1	I1(sy)
55	IF_OPENSUB	7	3	I4(ee),I1(sk),I2(cq)
56	REBUILD_WORLDENTITY_V3	-2	0	-
57	ANIM_SPECIFIC	3	2	I1(sk),I2(ed)
58	IF_SETPLAYERHEAD	4	1	I4(dj)
59	UPDATE_ZONE_FULL_FOLLOWS	3	3	I1(er),I1(sy),I1(er)
